	relationship	smoker	alp	weight	trombocyty	hematokrit	hemoglobin	er-cv	ast	ssn	erytrocyty	indicator	hbver	leukocyty	alt	etytr	name
0	divoced	yes	69.29754	96.36107	6.16009	5.43057	5.33106	51.19736	48.65497	470-64-4139	3.13135	1.00000	5.92815	5.68391	4.52772	6.41607	Peter Caldwell
1	separated	yes	77.14564	87.14201	7.56648	5.49149	6.93812	62.31427	41.80988	579-65-9832	6.34564	0.00000	5.54724	5.75947	7.19988	7.18319	Christopher Kirk
2	single	no	80.33335	77.58017	6.40181	3.43240	6.56676	59.78868	28.21638	218-64-1541	4.90939	1.00000	5.65431	6.85991	5.06519	6.22532	Mark Marquez
3	divoced	no	87.09655	112.49541	6.50980	4.31559	6.39304	68.48635	61.78821	019-05-2851	5.90148	0.00000	6.58694	5.99676	5.00137	5.70739	Ana Lawrence
4	nop	yes	68.78724	85.92167	8.61102	7.98429	5.27338	80.81524	18.89804	594-56-3775	6.77629	1.00000	6.75211	6.72027	10.06595	8.36895	Tammy Stone
5	single	no	79.70862	129.95085	7.36704	5.19524	6.69269	40.61051	42.85405	875-70-3061	4.35861	1.00000	2.87482	7.99491	3.09837	6.13608	Dustin Ramirez
6	single	no	10.00315	87.46249	8.97806	8.21504	3.32465	53.54336	63.71657	101-51-4583	7.49375	1.00000	7.19329	5.18005	9.71120	6.97153	Wesley Mora
7	single	yes	70.73527	77.14382	8.03998	4.13044	5.53434	75.96958	41.68286	353-97-0785	4.99299	0.00000	5.36293	5.09032	5.82102	4.90617	Darrell Collins
8	married	yes	59.64235	78.69870	6.79671	6.35365	5.04040	75.40954	47.04055	759-81-6068	7.41051	1.00000	7.19224	5.41765	8.33066	7.91637	Loretta Jones
9	married	no	28.87207	61.87194	7.20342	7.89221	4.26034	55.41616	47.02262	650-15-2936	7.71057	1.00000	6.66347	7.68365	10.07334	4.15104	Joel Anderson
10	married	Y	61.58113	139.22602	8.24560	7.78792	7.44705	60.62404	40.99371	549-70-3298	4.39721	1.00000	6.16124	6.61593	6.55746	8.09851	Melissa Stevenson
11	nop	no	16.15606	100.64335	7.48445	7.81459	3.85309	54.58269	53.00301	745-11-5236	7.68335	1.00000	6.19728	6.58598	11.56644	4.61050	Rachel Henderson
12	separated	yes	12.18292	18.82065	6.99236	6.76905	3.19309	23.34088	62.02668	215-05-7413	4.32297	0.00000	6.03949	6.00869	6.14064	7.08687	Melissa Martin
13	married	Y	69.13779	28.44820	7.19192	5.36720	7.30008	45.06371	43.70484	317-49-7203	8.16449	0.00000	6.64841	7.06635	13.64326	5.07202	Jennifer Li
14	nop	no	62.74191	99.61714	8.00160	5.73570	7.56665	41.74789	54.17108	572-62-4052	6.62723	0.00000	8.19534	6.10148	8.21824	5.28425	Maria Hanson
15	divoced	no	78.91853	65.07001	7.55741	7.13390	6.70028	37.66841	20.59507	776-22-9168	3.82441	1.00000	5.70264	4.65867	5.90636	6.63852	Shaun Skinner
