	residence	ssn	blood_group	birthdate	address	name	race	job	sex
0	"55180 Charlotte Mission
Port Janiceton, MD 01615"	707-91-3436	AB+	12/25/1983, 00:00:00	"2206 Regina Bypass Apt. 478
South Samanthabury, KS 47288"	Julia Santiago	White	Television production assistant	F
1	"4157 Chelsea Extension Apt. 138
Phillipstown, AZ 84158"	882-73-6960	B+	05/21/1936, 00:00:00	"5495 James Causeway
Lake Charles, NC 64584"	Brenda Roach	White	Planning and development surveyor	F
2	"8890 Rogers Trail
New April, VT 56293"	395-27-1265	A+	05/11/1908, 00:00:00	"USNV Olsen
FPO AE 06714"	Richard Thomas	Black	Primary school teacher	M
3	"6073 Roger Via Suite 739
Port Johnfort, NM 79606"	708-36-7168	B+	04/22/1907, 00:00:00	"461 Jeffrey Tunnel
Port Meganmouth, OK 29371"	Angela Richards	Black	Accountant, chartered public finance	F
4	"6685 Jason Trafficway Apt. 492
West Deantown, NM 88621"	183-78-8749	A-	1905-10-14	"501 Johnson Roads Apt. 644
Jonathanborough, NC 75004"	Joseph Elliott	white	Immigration officer	M
5	"55098 Timothy Mall
Lake Rhondachester, ND 95966"	290-30-8274	AB-	06/10/2006, 00:00:00	"3078 Kristen Via Suite 684
North Julieberg, OK 30164"	Erin Gardner	White	Tree surgeon	F
6	"13209 Carol Grove
Paulaview, LA 80082"	335-75-2783	O-	03/21/1975, 00:00:00	"0378 Tracy Harbors
South Robert, MS 50839"	George Rivera	White	Associate Professor	M
7	"7897 Joseph Valleys
Nelsonchester, KS 39327"	147-66-1480	A+	11/28/1943, 00:00:00	"069 Jason Meadows Suite 550
New Georgechester, ID 36981"	Kimberly Ortiz	White	Copywriter, advertising	F
8	"070 Brandi Wells Suite 668
West Matthew, CA 52184"	254-97-8945	O-	1908-07-21	"Unit 6482 Box 1853
DPO AE 69860"	Virginia Thomas	White	Firefighter	F
9	"USS Gonzalez
FPO AA 45598"	579-57-3686	AB-	2017-09-07	"Unit 5609 Box 5692
DPO AE 32632"	David Harris	Asian	Arboriculturist	M
10	"543 Malone Plain Apt. 241
Dixonbury, NE 86064"	278-44-3737	O-	05/07/1936, 00:00:00	"3543 Tanner Flats
Mckenzieberg, CA 14763"	Patricia Holmes	Black	Psychiatric nurse	F
11	"Unit 8640 Box 0927
DPO AA 01035"	543-07-8565	O+	04/07/1986, 00:00:00	"198 Frye Brooks
Williamshaven, MN 62213"	Richard Johnson	Black	Comptroller	M
12	"2170 Jacobs Light
Georgeton, MN 33093"	200-20-4285	O+	1965/11/10	"546 Kayla Shores Suite 136
East Alicia, AK 65391"	Rachel Robinson	Black	Clinical embryologist	F
13	"2259 Roy Circle Suite 469
Riceland, LA 03407"	063-47-0942	A+	06/12/2012, 00:00:00	"6867 Alison Greens
Lake Ericaborough, WY 17469"	Natalie Bentley	White	Chartered certified accountant	F
14	"0080 Stephanie Stravenue
Lake Vincentbury, MN 54659"	394-55-7199	A+	1929-08-08	"45953 Anderson Crossroad Apt. 238
Kevinton, WV 45173"	Devin Parker	black	Education officer, museum	M
15	"928 Taylor Road
South Javier, AL 48046"	439-78-2049	B+	1980-05-04	"659 Crystal Courts Suite 772
West Rhonda, MO 47132"	Tina Allen	White	Lexicographer	F
16	"554 Angela Centers
Craigland, WA 49091"	403-88-9976	B-	21 Sep 1968	"31541 Terri Fort
Port Kathleenstad, AZ 20332"	James Jones	White	Systems developer	M
17	"08090 Knox Turnpike
South Melissa, MT 46137"	225-27-1637	A+	03 Jul 1923	"46753 Carroll Manor Suite 562
Robbinsfurt, ME 21844"	Susan Salas	White	Film/video editor	F
18	"10118 Michelle Dale Suite 614
Meyermouth, ID 30812"	601-45-3097	AB-	13 Apr 1988	"Unit 3503 Box 3387
DPO AE 04236"	Kimberly Mcgee	White	Medical secretary	F
19	"754 Smith Drive Suite 832
Lindseyberg, DE 99058"	235-95-4178	O+	1991-03-30	"57163 James Hills Suite 001
Murphyview, FL 12398"	Patricia Allison	White	Media buyer	F
20	"302 Manning Street Suite 376
Port Seanmouth, IA 00674"	510-24-2297	O-	1951/11/30	"69381 Austin Branch
Rojasside, NM 43175"	Kevin Patel	Black	Engineer, control and instrumentation	M
21	"58543 Peterson Causeway Apt. 172
North Bianca, NE 70085"	146-82-2708	A-	1990/10/29	"056 Henderson Circle Apt. 132
Jonesmouth, NV 58701"	Phillip Ellis	White	Advice worker	M
22	"188 William Overpass Apt. 024
Lake Kristina, IA 05592"	506-34-4175	O+	1927-08-03	"422 Jason Point
South Andreastad, ND 27467"	Timothy Thompson	Hawaiian	Multimedia specialist	M
23	"081 Cole Well Apt. 542
Andersonville, KY 91043"	824-14-4686	O-	1924-04-12	"0824 Cook Mall Suite 029
South Kenneth, MD 78572"	Joseph Hinton	White	Programme researcher, broadcasting/film/video	M
24	"71749 John Path
Alexandriamouth, NV 13997"	443-88-2436	AB+	06/11/1910, 00:00:00	"37027 Edwin Summit Apt. 241
New Soniamouth, ME 04222"	Joseph Cook	Asian	Information systems manager	M
25	"9459 Laura Square Apt. 626
Whitneybury, MT 13691"	403-24-5425	A+	21 Feb 1936	"55638 Jones Stravenue
North Morgan, WY 13187"	Sergio Lynch	Black	Sound technician, broadcasting/film/video	M
26	"5868 Bullock Road
Johnsonview, CT 24356"	221-73-6928	AB+	2005/10/21	"Unit 4013 Box 9246
DPO AA 73603"	Janet Austin	Asian	Surveyor, planning and development	F
27	"5606 Sherri Brook Suite 315
Kimburgh, WV 58362"	226-70-3066	B+	28 Jan 1988	"9561 Anthony Green Suite 541
West Kristaland, AK 22376"	Kenneth Flowers	Asian	Administrator, charities/voluntary organisations	M
28	"0797 Victor Spring Apt. 063
North Lisa, ME 65149"	071-43-9098	O-	1979-11-05	"35617 Patricia Pike Suite 043
South Bethanyport, KY 69127"	Caroline Gill	Asian	Research scientist (medical)	F
29	"2558 Tasha Rue
North Rachel, MA 61086"	788-31-3388	AB-	05 Jan 1998	"5521 Allen Crest Suite 525
Port Tammybury, MO 88150"	Adam Stephenson	White	Food technologist	M
30	"427 Megan Hills
East Debra, KY 14146"	573-21-9707	O-	04/06/1906, 00:00:00	"5089 Bryan Glens
Harriston, WI 00871"	Timothy Vazquez	White	Merchant navy officer	M
31	"649 Pitts Ports
Joberg, MI 85922"	425-48-2873	B+	1930/07/16	"7391 Brad Street Suite 345
South Ericton, MN 07008"	Christopher Rojas	Asian	Telecommunications researcher	M
32	"PSC 0106, Box 5802
APO AE 14007"	060-09-5231	A+	01/13/1984, 00:00:00	"270 Brett Cliffs
Port Jamesbury, WA 57221"	Bryan Stuart	White	Scientist, research (maths)	M
