,relationship,smoker,alp,weight,trombocyty,hematokrit,hemoglobin,er-cv,ast,ssn,erytrocyty,indicator,hbver,leukocyty,alt,etytr,name,residence,blood_group,birthdate,address,race,job,sex
0,divorced,yes,69.29754,96.36107,6.16009,5.43057,5.33106,51.19736,48.65497,470-64-4139,3.13135,1.0,5.92815,5.68391,4.52772,6.41607,Peter Caldwell,"205 Mary Expressway
South Joseph, MS 59705",B-,2018-10-03,"6123 Davis Plain Suite 596
Joshuaton, WY 57242",Black,Information officer,M
1,single,yes,72.82074,48.08581,5.3436,5.93857,5.38394,55.26958,64.9109,470-64-4139,7.68942,1.0,5.03657,4.95397,12.80219,6.2605,Peter Caldwell,"205 Mary Expressway
South Joseph, MS 59705",B-,2018-10-03,"6123 Davis Plain Suite 596
Joshuaton, WY 57242",Black,Information officer,M
2,widowed,no,20.71153,84.24071,7.86501,5.29297,8.64115,53.49391,55.51303,470-64-4139,6.08545,1.0,7.23386,6.68762,6.98207,7.43575,Peter Caldwell,"205 Mary Expressway
South Joseph, MS 59705",B-,2018-10-03,"6123 Davis Plain Suite 596
Joshuaton, WY 57242",Black,Information officer,M
3,married,no,71.4808,78.61777,7.63083,4.34763,7.07119,57.1218,56.47341,470-64-4139,4.30892,1.0,5.02865,6.28806,5.12203,6.48746,Peter Caldwell,"205 Mary Expressway
South Joseph, MS 59705",B-,2018-10-03,"6123 Davis Plain Suite 596
Joshuaton, WY 57242",Black,Information officer,M
4,separated,yes,77.14564,87.14201,7.56648,5.49149,6.93812,62.31427,41.80988,579-65-9832,6.34564,0.0,5.54724,5.75947,7.19988,7.18319,Christopher Kirk,"280 Matthew Station
Lake Kevintown, ID 24849",A-,1989-06-30,"PSC 6508, Box 2850
APO AP 67161",Asian,Mudlogger,M
5,married,no,71.9973,65.62869,7.04628,6.81769,5.4577,52.93373,42.80796,579-65-9832,7.25871,1.0,6.14027,6.94045,12.07011,6.61236,Christopher Kirk,"280 Matthew Station
Lake Kevintown, ID 24849",A-,1989-06-30,"PSC 6508, Box 2850
APO AP 67161",Asian,Mudlogger,M
6,divorced,no,72.62165,86.75036,6.87757,5.11821,7.12253,59.58279,58.89836,579-65-9832,8.36425,0.0,6.39233,4.82973,17.2197,6.14444,Christopher Kirk,"280 Matthew Station
Lake Kevintown, ID 24849",A-,1989-06-30,"PSC 6508, Box 2850
APO AP 67161",Asian,Mudlogger,M
7,single,no,85.80621,80.58443,5.67879,4.20283,6.27328,81.75112,44.6399,579-65-9832,8.26397,0.0,5.94057,5.55504,19.25513,5.05269,Christopher Kirk,"280 Matthew Station
Lake Kevintown, ID 24849",A-,1989-06-30,"PSC 6508, Box 2850
APO AP 67161",Asian,Mudlogger,M
8,single,no,80.33335,77.58017,6.40181,3.4324,6.56676,59.78868,28.21638,218-64-1541,4.90939,1.0,5.65431,6.85991,5.06519,6.22532,Mark Marquez,"898 Kristen Freeway
Jamesburgh, VT 12065",A+,1932-09-09,"6707 Pacheco Unions Apt. 800
East Jennifer, WA 43932",Black,"Runner, broadcasting/film/video",M
9,single,no,86.57184,85.71614,7.65162,6.42525,6.67592,74.71652,67.12765,218-64-1541,6.55625,0.0,4.40713,6.87339,6.52652,5.49304,Mark Marquez,"898 Kristen Freeway
Jamesburgh, VT 12065",A+,1932-09-09,"6707 Pacheco Unions Apt. 800
East Jennifer, WA 43932",Black,"Runner, broadcasting/film/video",M
10,separated,yes,83.11776,66.67268,7.42257,5.60313,6.9469,53.37382,37.49532,218-64-1541,6.60617,0.0,6.65417,5.36392,8.9341,6.81515,Mark Marquez,"898 Kristen Freeway
Jamesburgh, VT 12065",A+,1932-09-09,"6707 Pacheco Unions Apt. 800
East Jennifer, WA 43932",Black,"Runner, broadcasting/film/video",M
11,divorced,no,87.09655,112.49541,6.5098,4.31559,6.39304,68.48635,61.78821,019-05-2851,5.90148,0.0,6.58694,5.99676,5.00137,5.70739,Ana Lawrence,"386 Morgan Centers
Jermaineburgh, CO 77658",AB+,1926-08-29,"575 Chris Manors Suite 470
Rebeccahaven, WY 22013",White,Technical sales engineer,F
